"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score,_edit_last,_edit_lock
"[BMW] 5시리즈(6세대) 528i",5042,20구5395,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802894%2FA250802894_02_03.jpg%3F20250901112143&type=m&w=800&h=500&quality=90&ttype=jpg,124905,600,"[BMW] 5시리즈(6세대) 528i",A/T,2014,"현대 경매장",WBA5A5106ED793459,"A / 2"
"[미니] 쿠퍼(2세대) 1.6 오리지널",5043,57도2265,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250803155%2FA250803155_02_03.jpg%3F20250901112657&type=m&w=800&h=500&quality=90&ttype=jpg,122229,250,"[미니] 쿠퍼(2세대) 1.6 오리지널",A/T,2013,"현대 경매장",WMWSU310XDT621292,"A / 4"
"[지프] 랭글러(JK) 2.8 사하라 4도어",5044,46로2703,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802692%2FA250802692_02_03.jpg%3F20250901162651&type=m&w=800&h=500&quality=90&ttype=jpg,191687,1200,"[지프] 랭글러(JK) 2.8 사하라 4도어",A/T,2013,"현대 경매장",1C4BJWE54DL659409,"A / 4"
"[BMW] 5시리즈(7세대) 520i 럭셔리",5045,34호9062,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250803012%2FA250803012_02_03.jpg%3F20250901155013&type=m&w=800&h=500&quality=90&ttype=jpg,106836,1600,"[BMW] 5시리즈(7세대) 520i 럭셔리",A/T,2018,"현대 경매장",WBAJK710XJBP71221,"A / 4"
"[포드] 브롱코(6세대) 2.3 4DR 아우터 뱅크스",5046,45라8149,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802987%2FA250802987_02_03.jpg%3F20250901165757&type=m&w=800&h=500&quality=90&ttype=jpg,16210,5415,"[포드] 브롱코(6세대) 2.3 4DR 아우터 뱅크스",A/T,2024,"현대 경매장",1FMDE8BH7RLA74589,"A / 7"
"[포드] 익스페디션(4세대) 3.5 에코부스트 플래티넘",5047,157로4581,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802988%2FA250802988_02_03.jpg%3F20250901161111&type=m&w=800&h=500&quality=90&ttype=jpg,7945,6475,"[포드] 익스페디션(4세대) 3.5 에코부스트 플래티넘",A/T,2023,"현대 경매장",1FMJU1M88PEA55187,"A / 9"
"[지프] 그랜드 체로키(WK2) 3.6 V6 서밋",5048,311거8879,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802992%2FA250802992_02_03.jpg%3F20250901141845&type=m&w=800&h=500&quality=90&ttype=jpg,100791,1760,"[지프] 그랜드 체로키(WK2) 3.6 V6 서밋",A/T,2021,"현대 경매장",1C4RJFJG0MC541847,"A / 5"
"[BMW] 3시리즈(6세대) 320i 럭셔리",5049,31소0886,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250803156%2FA250803156_02_03.jpg%3F20250901164022&type=m&w=800&h=500&quality=90&ttype=jpg,86140,1495,"[BMW] 3시리즈(6세대) 320i 럭셔리",A/T,2016,"현대 경매장",WBA8A9105GK463265,"A / 5"
"[벤츠] GLS클래스(3세대) GLS 450d 4매틱",5050,241더6565,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900049%2FA250900049_02_03.jpg%3F20250901154645&type=m&w=800&h=500&quality=90&ttype=jpg,15844,14500,"[벤츠] GLS클래스(3세대) GLS 450d 4매틱",A/T,2024,"현대 경매장",W1NFF3DE1RB243293,"A / 9"
"[링컨] 노틸러스 2.7 V6 리저브",5051,258조9172,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802861%2FA250802861_02_03.jpg%3F20250901155450&type=m&w=800&h=500&quality=90&ttype=jpg,94997,1880,"[링컨] 노틸러스 2.7 V6 리저브",A/T,2019,"현대 경매장",2LMPJ8LP8KBL56040,"A / 7"
"[폭스바겐] 더 뉴파사트(7세대) 2.0 TDI",5052,36보6978,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802317%2FA250802317_02_03.jpg%3F20250901104625&type=m&w=800&h=500&quality=90&ttype=jpg,260919,265,"[폭스바겐] 더 뉴파사트(7세대) 2.0 TDI",A/T,2013,"현대 경매장",1VWZZZA3ZDC082058,"A / 3"
"[벤츠] C클래스(4세대) C220 d 아방가르드",5053,07우6106,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802788%2FA250802788_02_03.jpg%3F20250901183512&type=m&w=800&h=500&quality=90&ttype=jpg,156000,1180,"[벤츠] C클래스(4세대) C220 d 아방가르드",A/T,2018,"현대 경매장",WDDWF0EB1JR373120,"B / 4"
"[스즈키] 허슬러 660",5054,61조6819,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802509%2FA250802509_02_03.jpg%3F20250901183550&type=m&w=800&h=500&quality=90&ttype=jpg,218225,480,"[스즈키] 허슬러 660",A/T,2014,"현대 경매장",KL90B3C6GEZ5DA002,"A / 2"
"[BMW] 5시리즈(7세대) 520d 럭셔리 라인플러스",5055,133하1321,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900086%2FA250900086_02_03.jpg%3F20250901183208&type=m&w=800&h=500&quality=90&ttype=jpg,96661,2500,"[BMW] 5시리즈(7세대) 520d 럭셔리 라인플러스",A/T,2020,"현대 경매장",WBAJF3107LCD50649,"A / 7"
"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",5019,135너5374,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2505%2FA250503277%2FA250503277_02_03.jpg%3F20250602185659&type=m&w=800&h=500&quality=90&ttype=jpg,3178,5980,"[벤츠] E클래스(6세대) E220d 4매틱 익스클루시브",A/T,2024,"현대 경매장",W1KLF0FB1RA028861,"A / 8"
"[폭스바겐] 골프(6세대) 2.0 TDI",5020,56부3066,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801236%2FA250801236_02_03.jpg%3F20250820143229&type=m&w=800&h=500&quality=90&ttype=jpg,90284,235,"[폭스바겐] 골프(6세대) 2.0 TDI",A/T,2011,"현대 경매장",WVWZZZ1KZBW010771,"A / 5"
"[포드] 쿠가 2.0 디젤 트렌드",5021,359저1941,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801832%2FA250801832_02_03.jpg%3F20250821155145&type=m&w=800&h=500&quality=90&ttype=jpg,120257,595,"[포드] 쿠가 2.0 디젤 트렌드",A/T,2016,"현대 경매장",WF0AXXWPMGFP00761,"A / 6"
"[지프] 레니게이드 2.0 디젤 AWD 리미티드",5022,58로0876,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801232%2FA250801232_02_03.jpg%3F20250814170711&type=m&w=800&h=500&quality=90&ttype=jpg,172666,420,"[지프] 레니게이드 2.0 디젤 AWD 리미티드",A/T,2015,"현대 경매장",1C4BU0000FPC44221,"B / 4"
"[폭스바겐] 골프(6세대) 2.0 TDI 스타일",5023,31부8581,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801387%2FA250801387_02_03.jpg%3F20250814142526&type=m&w=800&h=500&quality=90&ttype=jpg,116687,320,"[폭스바겐] 골프(6세대) 2.0 TDI 스타일",A/T,2013,"현대 경매장",WVWZZZ1KZDW007855,"A / 2"
"[벤츠] S클래스(7세대) S350d",5024,336고6342,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801325%2FA250801325_02_03.jpg%3F20250825181506&type=m&w=800&h=500&quality=90&ttype=jpg,144990,6030,"[벤츠] S클래스(7세대) S350d",A/T,2021,"현대 경매장",W1K6F3AB9MA016326,"A / 5"
"[렉서스] ES(5세대) 350 프리미엄",5025,45주1690,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802525%2FA250802525_02_03.jpg%3F20250827095456&type=m&w=800&h=500&quality=90&ttype=jpg,156035,420,"[렉서스] ES(5세대) 350 프리미엄",A/T,2009,"현대 경매장",JTHBJ46G192277483,"C / 1"
